date,market_id,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice,market,admin1,admin2,latitude,longitude
4/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,28.5,0.28,Jaffna,Northern,Jaffna,9.66,80.01
4/15/2006,362,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34.25,0.33,Jaffna,Northern,Jaffna,9.66,80.01
4/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,26,0.25,Kilinochchi,Northern,Kilinochchi,9.4,80.4
4/15/2006,363,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33,0.32,Kilinochchi,Northern,Kilinochchi,9.4,80.4
4/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,26.5,0.26,Mannar,Northern,Mannar,8.98,79.9
4/15/2006,364,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.5,0.32,Mannar,Northern,Mannar,8.98,79.9
4/15/2006,365,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,33,0.32,Mulaitivu,Northern,Mullattivu,9.27,80.81
4/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,27,0.26,Vavuniya,Northern,Vavuniya,8.75,80.5
4/15/2006,367,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.5,0.32,Vavuniya,Northern,Vavuniya,8.75,80.5
4/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30.46,0.3,Colombo City,Western,Colombo,6.93,79.85
4/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,34.56,0.34,Colombo City,Western,Colombo,6.93,79.85
5/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,25,0.24,Ampara,Eastern,Ampara,7.28,81.67
5/15/2006,360,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,16,0.16,Ampara,Eastern,Ampara,7.28,81.67
