market_id,market,countryiso3,admin1,admin2,latitude,longitude
11304,Rambukkana,LKA,Sabaragamuwa,Kegalle,7.32,80.39
11305,Mawanella,LKA,Sabaragamuwa,Kegalle,7.25,80.45
11306,Bulathkohupitiya,LKA,Sabaragamuwa,Kegalle,7.1,80.34
11307,Yatiyantota,LKA,Sabaragamuwa,Kegalle,7.03,80.29
11308,Warakapola,LKA,Sabaragamuwa,Kegalle,7.23,80.2
11309,Aranayaka,LKA,Sabaragamuwa,Kegalle,7.15,80.46
11310,Soronthota,LKA,Uva,Badulla,7.03,81.06
11311,Passara,LKA,Uva,Badulla,6.93,81.15
11312,Lunugala,LKA,Uva,Badulla,7.04,81.2
11313,Kandekatiya,LKA,Uva,Badulla,7.19,81.03
11314,Meegahakivula,LKA,Uva,Badulla,7.14,81.05
